ID,Color_1,Color_2,Mixed_Color_Result,Mentor_Name,Occupation,Core_Experience_Insight
1,Red,Blue,Muted_Violet,Oprah Winfrey,Media Leader,Overcoming childhood trauma (Blue) through resilience and vocal passion (Red).
2,Red,Yellow,Warm_Orange,Maya Angelou,Poet/Activist,"Transforming righteous anger (Red) into powerful, peaceful wisdom (Yellow)."
3,Red,Purple,Deep_Magenta,Napoleon Bonaparte,Strategist,The constant battle between immense ambition (Red) and strategic anxiety (Purple).
4,Red,Gray,Ashen_Red,Viktor Frankl,Psychiatrist,Finding 'Man's Search for Meaning' amidst rage (Red) and total despair (Gray).
5,Red,Green,Earthy_Brown,Coco Chanel,Designer,Channeling the anger of poverty (Red) into a drive to outshine rivals (Green).
6,Red,Orange,Fiery_Amber,Elon Musk,Entrepreneur,Handling the pressure of bankruptcy (Orange) and public criticism (Red).
7,Red,Navy,Dark_Crimson,Malcolm X,Activist,"Converting isolated loneliness (Navy) into organized, intellectual fire (Red)."
8,Blue,Yellow,Soft_Green,Audrey Hepburn,Actor/Humanitarian,Filling the void of fame's loneliness (Blue) with the joy of giving (Yellow).
9,Blue,Purple,Indigo_Mist,Virginia Woolf,Writer,Exploring the delicate boundary between deep sorrow (Blue) and mental anxiety (Purple).
10,Blue,Gray,Dust_Blue,Abraham Lincoln,Politician,Leading a nation while enduring chronic clinical depression (Blue/Gray).
11,Blue,Green,Teal_Blue,Vincent van Gogh,Artist,Expressing the sadness of unrequited recognition (Blue) through jealous passion (Green).
12,Blue,Orange,Burnt_Sienna,J.K. Rowling,Author,Rising from the pressure of poverty (Orange) and clinical depression (Blue).
13,Blue,Navy,Midnight_Blue,Frida Kahlo,Artist,Confronting physical pain and isolation (Navy) through soulful art (Blue).
14,Yellow,Purple,Pale_Gold,Marie Curie,Scientist,Finding joy in discovery (Yellow) despite the anxiety of being an outsider (Purple).
15,Yellow,Gray,Silver_Yellow,Albert Schweitzer,Physician,Healing modern emptiness (Gray) through the peaceful joy of service (Yellow).
16,Yellow,Green,Lime_Gold,Michelle Obama,Lawyer/Author,Choosing self-worth and joy (Yellow) over the pressure of social comparison (Green).
17,Yellow,Orange,Sunset_Orange,Benjamin Franklin,Statesman,Managing massive workloads (Orange) through structured habits and peace (Yellow).
18,Yellow,Navy,Ethereal_Blue,Anna Pavlova,Ballerina,Finding the joy of flight (Yellow) within the strict isolation of discipline (Navy).
19,Purple,Gray,Cloudy_Purple,Socrates,Philosopher,Confronting the anxiety of the unknown (Purple) with intellectual emptiness (Gray).
20,Purple,Green,Sage_Purple,Natalie Portman,Actor/Director,Overcoming the 'Imposter Syndrome' (Green) and perfectionist anxiety (Purple).
21,Purple,Orange,Vibrant_Plum,Steve Jobs,Tech Leader,Balancing the anxiety of innovation (Purple) with extreme work pressure (Orange).
22,Purple,Navy,Cosmic_Indigo,Neil Armstrong,Astronaut,Maintaining calm (Navy) while facing the terrifying unknown of space (Purple).
23,Gray,Green,Olive_Gray,Jonathan Ive,Designer,"Responding to dull industries (Gray) with a unique, minimalist edge (Green)."
24,Gray,Orange,Steel_Orange,Bill Gates,Tech Leader,Managing burnout (Orange) through 'Think Weeks' to avoid mental emptiness (Gray).
25,Gray,Navy,Deep_Charcoal,Albert Camus,Author,Accepting the 'Absurd'—finding life in emptiness (Gray) and isolation (Navy).
26,Green,Orange,Rusty_Copper,Estée Lauder,Entrepreneur,Turning the pressure of sales (Orange) into a tool to beat competitors (Green).
27,Green,Navy,Dark_Teal,Zaha Hadid,Architect,Breaking through isolation (Navy) and being an outsider (Green) with radical art.
28,Orange,Navy,Stormy_Blue,Ernest Hemingway,Author,Writing with 'grace under pressure' (Orange) while battling inner solitude (Navy).